number,thumbnail,description
3224N-17,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/3224N-17.jpg," A continuous metal frame comprises the support system in the rustic Daria Collection. Each piece features wood shelving, with hints of gray within the finish, lending distinct character. Bookcase is offered in two widths, 26-inch and 40-inch wide, for the perfect placement in your home."
3224N-16,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/3224N-16.jpg," A continuous metal frame comprises the support system in the rustic Daria Collection. Each piece features wood shelving, with hints of gray within the finish, lending distinct character. Bookcase is offered in two widths, 26-inch and 40-inch wide, for the perfect placement in your home."
4508-PH,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4508-PH 4508-SH.jpg,"Providing extra seating in your casual dining space, the Yara is a modern take on the classic barstool. Intersecting circles stack one upon the other to create eye-catching style and serve as the base to support the gray fabric seat. The accent barstools are offered in 19.5-inch and 28-inch heights to meet the requirements for your space."
1234-1,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/1234-1 1234-4.jpg,"Delicate carvings and a woven rattan back grace the show wood frame in the Parlier Collection. The enhanced texture of the wood grain is highlighted by a grey weathered finish, while a natural color fabric covers the plush feather down seating in this elegant offering. The coordinating ottoman allows for the achievement of ultimate relaxation."
4521,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4521.jpg,Created in the profile of a wine barrel the Chardonnay wine refrigerator will be the talk of your next gathering. The door of the unit opens to reveal row upon row of wine storage racks ready for you to load your favorite bottles. The lift top conveniently provides storage and the controls that keep your favorite wine at the optimal temperature. The dark cherry finish complements the rustic look of this unique unit.
4520,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4520.jpg,Created in the profile of a wine barrel the Cabernet wine refrigerator will be the talk of your next gathering. The door of the unit opens to reveal row upon row of wine storage racks ready for you to load your favorite bottles. The lift top conveniently provides storage and the controls that keep your favorite wine at the optimal temperature. The dark oak finish complements the rustic look of this unique unit.
4507-F2,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4507-F2.jpg,"With a base that lends to a modern look and seat that has design roots that lean towards a more traditional styling, the Destry Collection will be a versatile choice for your home. The continuous frame of the black metal base supports the button tufted fabric seat. Offered in dark gray and beige for the perfect pairing to your home décor."
4507-F1,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4507-F1.jpg,"With a base that lends to a modern look and seat that has design roots that lean towards a more traditional styling, the Destry Collection will be a versatile choice for your home. The continuous frame of the black metal base supports the button tufted fabric seat. Offered in dark gray and beige for the perfect pairing to your home décor."
4506PU,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4506PU.jpg,"Mottled coloring provides realistic enhancement to the alligator embossed bi-cast vinyl seat of the Nestor Collection. Supported by a chrome base, this modern accent bench is a glamorous addition to your home's décor."
4502FA,https://s3-us-west-1.amazonaws.com/homelegance-resized/Images_MidRes_For+Customer+Advertisement/4502FA.jpg,"Designed with a traditional touch and a nod towards modern classicism, the Qirin Collection accent bench is a gorgeous option for your home. A sturdy metal frame design is supported with subtle distressed white finish covers the turned legs and is elegantly accented by the bluish gray, button-tufted seat."
